x,Interactive workloads,Short-running workloads A,Long-running continuous workload B1,Long-running continuous workload B2,Long-running interruptible workload C1,Long-running interruptible workload C2,Long-running interruptible workload C3
45.329,1.32301e+06,1.92741e+06,1.60142e+06,2.57551e+06,1.176038507588711487e+53,2.57433e+06,1.2098908e+08
45.393,1.32548e+06,1.93074e+06,1.59852e+06,2.57891e+06,1.18255e+53,2.5774e+06,1.2029388e+08
45.611,1.33635e+06,1.94795e+06,1.58858e+06,2.59058e+06,1.205e+53,2.58492e+06,1.179349e+08
45.919,1.37325e+06,1.96318e+06,1.57445e+06,2.60702e+06,1.23715e+53,2.59215e+06,1.1466328e+08
45.931,1.37363e+06,1.96354e+06,1.5739e+06,2.60765e+06,1.23841e+53,2.5924e+06,1.1453782e+08
46.557,1.38804e+06,1.97676e+06,1.54475e+06,2.64113e+06,1.30571e+53,2.60712e+06,1.0807298e+08
47.236,1.39945e+06,1.99633e+06,1.5127e+06,2.67733e+06,1.38123e+53,2.65114e+06,1.0136865e+08
47.326,1.40079e+06,2.0008e+06,1.5084e+06,2.68213e+06,1.39148e+53,2.66041e+06,1.0050003e+08
48.068,1.41014e+06,2.05663e+06,1.47272e+06,2.72169e+06,1.4778e+53,2.71281e+06,9.354557e+07
48.158,1.41097e+06,2.06192e+06,1.46837e+06,2.72648e+06,1.48849e+53,2.71567e+06,9.272665e+07
49.066,1.42654e+06,2.0802e+06,1.42394e+06,2.77482e+06,1.5994e+53,2.72554e+06,8.473467e+07
49.463,1.44844e+06,2.08242e+06,1.4043e+06,2.79593e+06,1.649561635755036656e+53,2.72363e+06,8.139816e+07
50.449,1.51262e+06,2.09289e+06,1.35498e+06,2.8483e+06,1.7787e+53,2.71092e+06,7.351194e+07
51.229,1.56805e+06,2.12751e+06,1.31548e+06,2.88964e+06,1.88546e+53,2.69588e+06,6.767125e+07
51.692,1.59534e+06,2.26278e+06,1.29182e+06,2.91416e+06,1.950847136716662457e+53,2.68556e+06,6.436302e+07
51.755,1.59871e+06,2.27179e+06,1.28858e+06,2.91751e+06,1.9599e+53,2.68409e+06,6.391985e+07
52.767,1.64677e+06,2.30378e+06,1.23641e+06,2.97097e+06,2.10843e+53,2.65875e+06,5.713181e+07
54.059,1.70119e+06,2.36425e+06,1.16893e+06,3.03902e+06,2.308805992893252676e+53,2.6227e+06,4.923812e+07
54.073,1.70173e+06,2.36526e+06,1.16823e+06,3.03973e+06,2.310949120837621556e+53,2.6223e+06,4.916063e+07
54.765,1.72897e+06,2.43495e+06,1.13173e+06,3.07603e+06,2.42335e+53,2.60173e+06,4.528152e+07
55.749,1.76268e+06,2.49978e+06,1.07946e+06,3.12745e+06,2.58937e+53,2.57129e+06,4.016039e+07
55.764,1.76304e+06,2.50054e+06,1.07867e+06,3.12822e+06,2.59194e+53,2.57082e+06,4.008631e+07
56.209,1.76677e+06,2.52089e+06,1.05485e+06,3.15141e+06,2.6696e+53,2.55665e+06,3.791779e+07
56.532,1.77731e+06,2.53743e+06,1.03756e+06,3.16815e+06,2.72677e+53,2.54626e+06,3.640409e+07
57.208,1.79547e+06,2.57822e+06,1.0012e+06,3.20309e+06,2.84916e+53,2.52416e+06,3.338131e+07
57.531,1.79994e+06,2.59072e+06,9.8375e+05,3.21971e+06,2.90895e+53,2.51345e+06,3.200565e+07
58.435,1.80367e+06,2.60112e+06,9.3467e+05,3.26597e+06,3.08088e+53,2.48301e+06,2.838321e+07
58.605,1.80463e+06,2.60712e+06,9.2543e+05,3.27458e+06,3.11386e+53,2.47723e+06,2.774102e+07
58.819,1.81187e+06,2.6198e+06,9.1375e+05,3.28541e+06,3.155808604568813544e+53,2.46991e+06,2.694696e+07
59.681,1.83415e+06,2.68501e+06,8.6662e+05,3.32846e+06,3.328426850919026688e+53,2.44015e+06,2.393189e+07
60.662,1.85286e+06,2.70511e+06,8.1269e+05,3.37583e+06,3.532418700569212629e+53,2.40575e+06,2.083827e+07
60.986,1.85726e+06,2.7055e+06,7.948e+05,3.39078e+06,3.601630420549257252e+53,2.39427e+06,1.98916e+07
62.152,1.86914e+06,2.71055e+06,7.3019e+05,3.43517e+06,3.857999390641969734e+53,2.35255e+06,1.678307e+07
62.367,1.87145e+06,2.7137e+06,7.182e+05,3.44146e+06,3.90672e+53,2.34477e+06,1.625701e+07
62.811,1.87745e+06,2.72589e+06,6.9349e+05,3.45764e+06,4.0082e+53,2.32869e+06,1.522113e+07
63.15,1.88394e+06,2.73986e+06,6.7456e+05,3.47206e+06,4.08698e+53,2.31635e+06,1.446996e+07
63.212,1.88533e+06,2.74239e+06,6.711e+05,3.47481e+06,4.10149e+53,2.31409e+06,1.43364e+07
63.903,1.90399e+06,2.76699e+06,6.3243e+05,3.50645e+06,4.26559e+53,2.28879e+06,1.292419e+07
64.654,1.92665e+06,2.80585e+06,5.903e+05,3.54122e+06,4.44866e+53,2.26112e+06,1.154432e+07
64.902,1.93382e+06,2.82028e+06,5.7633e+05,3.55258e+06,4.51035e+53,2.25193e+06,1.112148e+07
65.301,1.94472e+06,2.84344e+06,5.5386e+05,3.57044e+06,4.610661763906681838e+53,2.23711e+06,1.047593e+07
66.592,1.97175e+06,2.89817e+06,4.8088e+05,3.62228e+06,4.94552e+53,2.18884e+06,8.65656e+06
66.99,1.97564e+06,2.90158e+06,4.5827e+05,3.63603e+06,5.05209e+53,2.17384e+06,8.17319e+06
67.033,1.97584e+06,2.90148e+06,4.5582e+05,3.63746e+06,5.063737331680029809e+53,2.17221e+06,8.12289e+06
68.126,1.9636e+06,2.88587e+06,3.9366e+05,3.66074e+06,5.36418e+53,2.13086e+06,6.98085e+06
68.449,1.95686e+06,2.88401e+06,3.7526e+05,3.66063e+06,5.4551e+53,2.1186e+06,6.68909e+06
68.798,1.95124e+06,2.88467e+06,3.5533e+05,3.65744e+06,5.55465e+53,2.10529e+06,6.39514e+06
69.584,1.94652e+06,2.88997e+06,3.1035e+05,3.64697e+06,5.78328e+53,2.07524e+06,5.81163e+06
70.29,1.94659e+06,2.89027e+06,2.6987e+05,3.64423e+06,5.99377e+53,2.04815e+06,5.37347e+06
70.735,1.94707e+06,2.88997e+06,2.443e+05,3.65363e+06,6.12913e+53,2.03101e+06,5.13522e+06
70.946,1.94714e+06,2.89064e+06,2.3215e+05,3.6615e+06,6.19404e+53,2.02286e+06,5.03184e+06
71.749,1.94547e+06,2.89575e+06,1.8593e+05,3.69342e+06,6.44493083308166295e+53,1.99183e+06,4.69118e+06
72.117,1.94422e+06,2.89817e+06,1.6472e+05,3.70258e+06,6.562072902431630085e+53,1.97758e+06,4.56067e+06
72.788,1.94304e+06,2.90143e+06,1.2593e+05,3.7127e+06,6.779640560055769948e+53,1.95149e+06,4.35909e+06
73.498,1.94365e+06,2.90227e+06,8.483e+04,3.71758e+06,7.01491e+53,1.92381e+06,4.19146e+06
73.668,1.9435e+06,2.90044e+06,7.498e+04,3.71802e+06,7.07202e+53,1.91717e+06,4.15745e+06
